Date,CAC40,FTSE100,DAX
2022-04-05,6645.509765625,7613.7001953125,14424.3603515625
2022-04-06,6498.830078125,7587.7001953125,14151.6904296875
2022-04-07,6461.68017578125,7551.7998046875,14078.150390625
2022-04-08,6548.22021484375,7669.60009765625,14283.669921875
2022-04-11,6555.81005859375,7618.2998046875,14192.7802734375
2022-04-12,6537.41015625,7576.7001953125,14124.9501953125
2022-04-13,6542.14013671875,7580.7998046875,14076.4404296875
2022-04-14,6589.35009765625,7616.39990234375,14163.849609375
2022-04-19,6534.7900390625,7601.2998046875,14153.4599609375
2022-04-20,6624.91015625,7629.2001953125,14362.0302734375
2022-04-21,6715.10009765625,7628.0,14502.41015625
2022-04-22,6581.419921875,7521.7001953125,14142.08984375
2022-04-25,6449.3798828125,7380.5,13924.169921875
2022-04-26,6414.56982421875,7386.2001953125,13756.400390625
2022-04-27,6445.259765625,7425.60009765625,13793.9404296875
2022-04-28,6508.14013671875,7509.2001953125,13979.83984375
2022-04-29,6533.77001953125,7544.60009765625,14097.8798828125
2022-05-02,6425.60986328125,,13939.0703125
2022-05-03,6476.18017578125,7561.2998046875,14039.4697265625
2022-05-04,6395.68017578125,7493.5,13970.8203125
2022-05-05,6368.39990234375,7503.2998046875,13902.51953125
2022-05-06,6258.35986328125,7387.89990234375,13674.2900390625
2022-05-09,6086.02001953125,7216.60009765625,13380.669921875
2022-05-10,6116.91015625,7243.2001953125,13534.740234375
2022-05-11,6269.72998046875,7347.7001953125,13828.6396484375
2022-05-12,6206.259765625,7233.2998046875,13739.6396484375
2022-05-13,6362.68017578125,7418.2001953125,14027.9296875
2022-05-16,6347.77001953125,7464.7998046875,13964.3798828125
2022-05-17,6430.18994140625,7518.39990234375,14185.9404296875
2022-05-18,6352.93994140625,7438.10009765625,14007.759765625
2022-05-19,6272.7099609375,7302.7001953125,13882.2998046875
2022-05-20,6285.240234375,7390.0,13981.91015625
2022-05-23,6358.740234375,7513.39990234375,14175.400390625
2022-05-24,6253.14013671875,7484.39990234375,13919.75
